"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Апр. '22","78,15","81,83","81,83","81,83","-","-5,74%"
"Март '22","82,91","98,29","98,29","98,29","-","-12,06%"
"Февр. '22","94,28","90,47","90,47","90,47","-","2,43%"
"Янв. '22","92,04","76,61","76,61","76,61","-","19,84%"
"Дек. '21","76,80","70,55","70,55","70,55","-","10,76%"
"Нояб. '21","69,34","83,10","83,10","83,10","-","-15,54%"
"Окт. '21","82,10","76,67","76,67","76,67","-","8,23%"
"Сент. '21","75,86","68,68","68,68","68,68","-","7,03%"
"Авг. '21","70,88","71,43","71,43","71,43","-","-4,18%"
"Июль '21","73,97","74,66","74,66","74,66","-","-1,25%"
"Июнь '21","74,91","68,81","68,81","68,81","-","10,58%"
"Май '21","67,74","68,44","68,44","68,44","-","3,12%"
"Апр. '21","65,69","60,35","60,35","60,35","-","6,59%"
"Март '21","61,63","64,55","64,55","64,55","-","-5,07%"
"Февр. '21","64,92","56,45","56,45","56,45","-","16,32%"
"Янв. '21","55,81","50,97","50,97","50,97","-","9,50%"
"Дек. '20","50,97","49,68","49,68","49,68","-","8,63%"
"Нояб. '20","46,92","46,92","46,92","46,92","-","26,40%"
"Окт. '20","37,12","37,12","37,12","37,12","-","-8,32%"
"Сент. '20","40,49","40,49","40,49","40,49","-","-10,22%"
"Авг. '20","45,10","45,10","45,10","45,10","-","3,51%"
"Июль '20","43,57","43,57","43,57","43,57","-","-1,34%"
"Июнь '20","44,16","44,16","44,16","44,16","-","24,53%"
"Май '20","35,46","35,46","35,46","35,46","-","88,82%"
"Апр. '20","18,78","18,78","18,78","18,78","-","24,29%"
"Март '20","15,11","15,11","15,11","15,11","-","-69,07%"
"Февр. '20","48,86","48,86","48,86","48,86","-","-16,29%"
"Янв. '20","58,37","58,37","58,37","58,37","-","-11,92%"
"Дек. '19","66,27","66,27","66,27","66,27","-","1,72%"
"Нояб. '19","65,15","65,15","65,15","65,15","-","8,31%"
"Окт. '19","60,15","60,15","60,15","60,15","-","0,35%"
"Сент. '19","59,94","59,94","59,94","59,94","-","-3,46%"
"Авг. '19","62,09","62,09","62,09","62,09","-","-4,31%"
"Июль '19","64,89","64,89","64,89","64,89","-","-2,08%"
"Июнь '19","66,27","66,27","66,27","66,27","-","-2,08%"
"Май '19","67,68","67,68","67,68","67,68","-","-7,40%"
"Апр. '19","73,09","73,09","73,09","73,09","-","6,50%"
"Март '19","68,63","68,63","68,63","68,63","-","6,03%"
"Февр. '19","64,73","64,73","64,73","64,73","-","2,81%"
"Янв. '19","62,96","62,96","62,96","62,96","-","24,38%"
"Дек. '18","50,62","50,62","50,62","50,62","-","-12,59%"
"Нояб. '18","57,91","57,91","57,91","57,91","-","-20,99%"
"Окт. '18","73,29","73,29","73,29","73,29","-","-10,70%"
"Сент. '18","82,07","82,07","82,07","82,07","-","6,74%"
"Авг. '18","76,89","76,89","76,89","76,89","-","5,68%"
"Июль '18","72,76","72,76","72,76","72,76","-","-4,81%"
"Июнь '18","76,44","76,44","76,44","76,44","-","0,91%"
"Май '18","75,75","75,75","75,75","75,75","-","3,53%"
"Апр. '18","73,17","73,17","73,17","73,17","-","8,13%"
"Март '18","67,67","67,67","67,67","67,67","-","6,02%"
"Февр. '18","63,83","63,83","63,83","63,83","-","-4,26%"
"Янв. '18","66,67","66,67","66,67","66,67","-","-0,09%"
"Дек. '17","66,73","66,73","66,73","66,73","-","5,37%"
"Нояб. '17","63,33","63,33","63,33","63,33","-","3,57%"
"Окт. '17","61,15","61,15","61,15","61,15","-","8,67%"
"Сент. '17","56,27","56,27","56,27","56,27","-","8,86%"
"Авг. '17","51,69","51,69","51,69","51,69","-","-0,10%"
"Июль '17","51,74","51,74","51,74","51,74","-","12,28%"
"Июнь '17","46,08","46,08","46,08","46,08","-","-4,30%"
"Май '17","48,15","48,15","48,15","48,15","-","-2,45%"
"Апр. '17","49,36","49,36","49,36","49,36","-","-2,45%"
"Март '17","50,60","50,60","50,60","50,60","-","-3,27%"
"Февр. '17","52,31","52,31","52,31","52,31","-","-3,04%"
"Янв. '17","53,95","53,95","53,95","53,95","-","0,92%"
"Дек. '16","53,46","53,46","53,46","53,46","-","14,11%"
"Нояб. '16","46,85","46,85","46,85","46,85","-","4,46%"
"Окт. '16","44,85","44,85","44,85","44,85","-","-3,22%"
"Сент. '16","46,34","46,34","46,34","46,34","-","4,58%"
"Авг. '16","44,31","44,31","44,31","44,31","-","12,15%"
"Июль '16","39,51","39,51","39,51","39,51","-","-15,67%"
"Июнь '16","46,85","46,85","46,85","46,85","-","-1,80%"
"Май '16","47,71","47,71","47,71","47,71","-","7,60%"
"Апр. '16","44,34","44,34","44,34","44,34","-","23,13%"
"Март '16","36,01","36,01","36,01","36,01","-","6,01%"
"Февр. '16","33,97","33,97","33,97","33,97","-","7,19%"
"Янв. '16","31,69","31,69","31,69","31,69","-","-9,87%"
"Дек. '15","35,16","35,16","35,16","35,16","-","-18,00%"
"Нояб. '15","42,88","42,88","42,88","42,88","-","-7,59%"
"Окт. '15","46,40","46,40","46,40","46,40","-","1,00%"
"Сент. '15","45,94","45,94","45,94","45,94","-","-2,40%"
"Авг. '15","47,07","47,07","47,07","47,07","-","-9,20%"
"Июль '15","51,84","51,84","51,84","51,84","-","-13,97%"
"Июнь '15","60,26","60,26","60,26","60,26","-","-3,37%"
"Май '15","62,36","62,36","62,36","62,36","-","-1,17%"
"Апр. '15","63,10","63,10","63,10","63,10","-","20,33%"
"Март '15","52,44","52,44","52,44","52,44","-","-13,31%"
"Февр. '15","60,49","60,49","60,49","60,49","-","27,03%"
"Янв. '15","47,62","47,62","47,62","47,62","-","-10,86%"
"Дек. '14","53,42","53,42","53,42","53,42","-","-25,17%"
"Нояб. '14","71,39","71,39","71,39","71,39","-","-14,32%"
"Окт. '14","83,32","83,32","83,32","83,32","-","-10,14%"
"Сент. '14","92,72","92,72","92,72","92,72","-","-7,62%"
"Авг. '14","100,37","100,37","100,37","100,37","-","-4,45%"
"Июль '14","105,04","105,04","105,04","105,04","-","-3,88%"
"Июнь '14","109,28","109,28","109,28","109,28","-","2,31%"
"Май '14","106,81","106,81","106,81","106,81","-","-0,81%"
"Апр. '14","107,68","107,68","107,68","107,68","-","2,41%"
"Март '14","105,15","105,15","105,15","105,15","-","-2,76%"
"Февр. '14","108,13","108,13","108,13","108,13","-","0,76%"
"Янв. '14","107,31","107,31","107,31","107,31","-","-1,32%"
"Дек. '13","108,75","108,75","108,75","108,75","-","-1,78%"
"Нояб. '13","110,72","110,72","110,72","110,72","-","3,98%"
"Окт. '13","106,48","106,48","106,48","106,48","-","-0,49%"
"Сент. '13","107,00","107,00","107,00","107,00","-","-7,58%"
"Авг. '13","115,77","115,77","115,77","115,77","-","6,66%"
"Июль '13","108,54","108,54","108,54","108,54","-","6,10%"
"Июнь '13","102,30","102,30","102,30","102,30","-","2,32%"
"Май '13","99,98","99,98","99,98","99,98","-","-1,39%"
"Апр. '13","101,39","101,39","101,39","101,39","-","-5,74%"
"Март '13","107,56","107,56","107,56","107,56","-","-1,60%"
"Февр. '13","109,31","109,31","109,31","109,31","-","-5,63%"
"Янв. '13","115,83","115,83","115,83","115,83","-","5,68%"
"Дек. '12","109,60","109,60","109,60","109,60","-","-0,63%"
